feature,mean_abs_shap
alt_latest_pre_cutoff,1.14503
visits_attended_pre_cutoff,0.39735
doses_missed_pre_cutoff,0.37662
age,0.22728
frailty_index,0.19916
adherence_ratio_pre_cutoff,0.18844
platelets_latest_pre_cutoff,0.18553
doses_administered_pre_cutoff,0.18461
platelets_baseline,0.1637
systolic_bp_change_pre_cutoff,0.16232
alt_elevation_ratio_pre_cutoff,0.15763
visits_scheduled_pre_cutoff,0.13402
systolic_bp_baseline,0.13089
systolic_bp_latest_pre_cutoff,0.12989
baseline_health_score,0.11633
cumulative_dose_mg_pre_cutoff,0.10932
abnormal_measurement_count_pre_cutoff,0.09648
alt_baseline,0.08885
platelets_pct_change_pre_cutoff,0.07216
ae_max_grade_pre_cutoff,0.04779
is_female,0.04743
abnormal_measurement_rate_pre_cutoff,0.03183
is_high_travel_burden,0.02839
is_experimental_arm,0.01674
measurement_count_pre_cutoff,0.01446
ae_count_pre_cutoff,0.01162
doses_scheduled_pre_cutoff,0.00981
ae_serious_count_pre_cutoff,0.00785
visit_attendance_rate_pre_cutoff,0.00469
doses_reduced_pre_cutoff,0.00429
ae_burden_score_pre_cutoff,0.00314
visits_missed_pre_cutoff,0.00241
has_drug_related_ae_pre_cutoff,0.001
